objectid,filename,youtubeid,vimeoid,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format,type,identifier,language,rights,rightsstatement
watkins0,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1163.jpg,,,This is a test edit,"Watkins, Carleton E.",Anaconda Mine,1000,1890,Some other change to the description.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1163,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins1,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1172.jpg,,,Anaconda Mine 1000 ft. level West [no. 1172],"Watkins, Carleton E.",Anaconda Mine,1000,1890,Anaconda Mine 1000 level West Ore 75 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1172,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins2,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1173.jpg,,,Anaconda Mine 900 ft. level West [no. 1173],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1173,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins3,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1174.jpg,,,Anaconda Mine 900 ft. level East [no. 1174],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1174,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins4,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1175.jpg,,,Anaconda Mine 900 ft. level West [no. 1175],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1175,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins5,https://www.lib.uidaho.edu/collectionbuilder/watkins/89-1176.jpg,,,Anaconda Mine 900 ft. level East [no. 1176],"Watkins, Carleton E.",Anaconda Mine,900,1890,Anaconda Mine 900 level East Wealth of ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,"Carleton E. Watkins photographs, 1890, PG 89, University of Idaho Library Special Collections and Archives. https://www.lib.uidaho.edu/digital/watkins/",Black and White Photograph,image/jpeg,Image;StillImage,89-1176,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
tiz0,tiz0.jpg,,,Tizzy makes a face,Me,,,2024-08,,,,,,,,image/jpeg,Image;StillImage,,eng,All rights reserved by Tizzy.,
demo_001,demo_001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,,,1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",,image/jpeg,Image;StillImage,pg_9_12_01bl,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_002,demo_002.pdf,,,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,,,1912-09-08,"Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",,application/pdf,Image;StillImage,Postcard_032,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_003,demo_003.mp3,,,Good News - Power,Frank B. Robinson,,,1947,Psychiana radio program episode begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,,,,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library",,audio/mp3,Audio,Good_News_08,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_004,,CVXQ3X6Q8oU,,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,,,1925-10-30,"Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library",,video/mp4,Image;MovingImage,"MG 23, Item 29",eng,"CC - Attribution 4.0 International. Digital reproduction rights assigned to the University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/
